id	x	y	cluster	weight<Links>	weight<Total link strength>
Research lnstitute of Fisheries & Oceanography - RAS	-1.5155	0.7707	10	3	68
Royal Holloway Univ London	-0.5874	-0.6275	8	3	94
Royal Netherlands Inst Sea Res NIOZ	-0.0642	-0.1206	9	13	536
Royal Netherlands Meteorol Inst	-0.2199	-0.2087	9	1	64
Ruprecht Karls Univ Heidelberg	-0.4485	0.1661	12	5	228
Russian Acad Sci	-1.4698	0.7637	10	16	732
Rutgers State Univ	0.3998	-0.0958	13	9	304
Sapienza Univ	-0.2129	0.2239	5	1	28
Senckenberg Gesellschaft fur Naturforschung SGN	-1.0991	0.4581	10	1	26
Seoul Natl Univ	0.1622	0.8585	7	2	144
Severtsov Inst Ecol & Evolut - RAS	-1.5176	0.7737	10	2	46
Shirshov Inst Oceanol - RAS	-1.5059	0.7827	10	3	256
Smithsonian Inst	0.5447	-0.2781	1	1	22
Sorbonne Univ	-0.4182	0.426	6	10	606
St Petersburg State Univ	-1.205	0.6816	10	2	50
Stanford Univ	0.2618	-0.0969	13	23	640
State Ocean Adm China	2.8661	0.2882	11	2	56
State Univ New York	1.2191	-0.2058	3	2	142
State Univ New York Stony Brook	1.2267	-0.2071	3	1	112
Stockholm Univ	-0.3909	0.0975	12	10	386
Swansea Univ	-0.3952	-0.4319	2	4	132
Swedish Museum Nat Hist	-0.8436	-0.6643	8	2	58
Texas A&M Univ	0.1955	-0.1653	2	10	260
Tohoku Univ	-0.0955	0.783	15	2	54
UHI Millenium Inst	-0.0921	-0.3408	4	4	144
UK Centre for Ecology & Hydrology UKCEH	-0.6179	-0.841	4	1	20
US Geol Survey	0.4715	-0.113	1	16	520
Univ Aberdeen	-0.5988	-0.8717	4	1	76
Univ Adelaide	-0.0034	0.0967	14	3	92
Univ Alabama	0.3217	-0.0089	1	4	158
Univ Alaska	0.4547	-0.0163	13	2	202
Univ Alaska Anchorage	0.4492	-0.0512	13	3	88
Univ Alaska Fairbanks	0.4421	-0.024	13	12	486
Univ Alberta	0.148	-0.0155	5	3	72
Univ Auckland	0.0952	0.0279	5	5	142
Univ Austral Chile	-1.3557	0.4687	7	1	46
Univ Barcelona	-0.5855	-0.5548	8	4	164
Univ Bergen	-0.4794	-0.1548	9	5	276
Univ Bern	-0.2817	0.146	12	15	696
Univ Birmingham	-0.583	-0.863	4	1	52
Univ Bonn	-0.6005	0.0346	7	1	22
Univ Bordeaux	-0.4811	0.4714	6	4	244
Univ Bremen	-0.1906	-0.1394	9	15	842
Univ Bristol	-0.0726	-0.363	2	22	784
Univ British Columbia	-0.2399	0.0748	16	4	130
Univ Buenos Aires	-0.8561	-0.6348	8	3	470
Univ Calif Berkeley	0.5314	-0.091	1	5	128
Univ Calif Davis	-0.0292	0.0342	5	2	50
Univ Calif Irvine	0.5012	-0.2729	1	8	304
Univ Calif Los Angeles	0.5115	-0.2818	1	2	74
Univ Calif San Diego	0.2875	-0.0596	3	56	2188
Univ Calif Santa Barbara	0.3936	-0.0885	13	33	1638
Univ Calif Santa Cruz	0.3954	-0.0824	13	24	1214
Univ Cambridge	-0.1699	-0.2909	2	16	770
Univ Canterbury	-0.0169	0.0175	5	8	220
Univ Cape Town	-0.1961	0.0073	9	6	224
Univ Chicago	0.5109	-0.2846	1	1	30
Univ Chile	-1.3321	0.4622	7	3	84
Univ Chinese Acad Sci	2.8621	0.2841	11	1	104
Univ Coll London	-0.2919	-0.4262	2	3	154
Univ Cologne	-0.6032	0.0291	7	1	36
Univ Colorado	0.4617	-0.08	1	44	1722
Univ Complutense	-0.093	-0.1089	14	4	206
Univ Concepcion	-1.351	0.4671	7	3	92
Univ Copenhagen	-0.2706	0.1488	12	18	854
Univ Ctr Svalbard UNIS	-0.5942	-0.8546	4	1	24
Univ Delaware	-0.0441	-0.0606	14	1	30
Univ East Anglia	0.0263	-0.2693	4	10	520
Univ Edinburgh	-0.1154	-0.391	2	10	366
Univ Exeter	-0.1193	-0.3524	2	12	434
Univ Florence	-0.2949	0.2112	12	10	370
Univ Florida	0.3371	-0.0639	3	1	22
Univ Genoa	-0.197	0.2148	5	6	200
Univ Georgia	0.3824	-0.0987	13	3	62
Univ Ghent	-0.3495	-0.668	2	4	344
Univ Gothenburg	0.1112	0.7944	7	2	50
Univ Gottingen	-0.6068	0.0333	7	1	26
Univ Grenoble Alpes	-0.3969	0.2819	12	20	1206
Univ Groningen	-0.0425	-0.1369	9	5	230
Univ Hamburg	-1.0894	0.4538	10	6	212
Univ Hawaii	0.4849	-0.0885	3	3	78
Univ Hawaii Manoa	0.1545	-0.1562	3	2	54
Univ Illinois	0.5392	-0.1257	1	3	86
Univ Innsbruck	-0.6337	-0.464	8	4	86
Univ Kansas	0.5395	-0.2747	1	6	138
Univ Kiel	-0.0847	-0.1076	14	6	248
Univ Laval	-0.4859	0.5015	6	2	54
Univ Leeds	-0.3182	-0.4385	2	8	330
Univ Leicester	-0.3144	-0.4603	2	3	132
Univ Libre Brussels	-0.3042	0.2508	6	16	546
Univ Liege	-0.369	0.3388	6	6	196
Univ Lisboa	-0.5845	-0.8738	4	1	26
Univ Liverpool	-0.3078	-0.3212	4	3	114
Univ London	-0.5906	-0.632	8	2	58
Univ London Imperial Coll Sci & Technol	-0.0065	-0.2514	2	6	238
Univ Maine	0.3766	-0.0756	1	17	530
Univ Manchester	-0.6236	-0.8593	4	1	28
Univ Maryland	0.5985	-0.1517	1	3	138
Univ Massachusetts	0.4186	-0.0682	1	5	146
Univ Melbourne	0	0.101	14	5	164
Univ Miami	0.7598	-0.0019	3	2	46
Univ Milan	-0.1877	0.1808	5	7	220
Univ Minnesota	-0.0376	-0.0288	14	2	42
Univ Montpellier	-0.6413	0.5695	6	1	46
Univ Munich	-0.604	0.0388	7	1	24
Univ N Carolina	2.4305	0.2257	11	2	42
Univ Naples Federico II	-0.2037	0.2207	5	2	62
Univ Nebraska	0.0415	-0.0284	5	8	234
Univ Nevada	0.563	-0.1215	1	3	152
Univ New Hampshire	0.5284	-0.082	1	1	20
Univ New South Wales	0.0916	-0.0059	5	18	580
Univ Oslo	-0.3497	-0.0692	9	2	62
Univ Otago	0.0682	0.0184	5	18	634
Univ Ottawa	0.6714	-0.1836	1	2	52
Univ Oxford	-0.1303	-0.3704	4	3	156
Univ Paris	-0.6378	0.5665	6	1	46
