id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<total whole period>	score<total avg.year>	weight<USA antarctic region prop>	score<USA antarctic region avg.year>	weight<UK antarctic region prop>	score<UK antarctic region avg.year>	weight<Germany antarctic region prop>	score<Germany antarctic region avg.year>	weight<Canada antarctic region prop>	score<Canada antarctic region avg.year>	weight<Norway antarctic region prop>	score<Norway antarctic region avg.year>	weight<Russia antarctic region prop>	score<Russia antarctic region avg.year>	weight<France antarctic region prop>	score<France antarctic region avg.year>	weight<Peoples R China antarctic region prop>	score<Peoples R China antarctic region avg.year>	weight<Australia antarctic region prop>	score<Australia antarctic region avg.year>	weight<Japan antarctic region prop>	score<Japan antarctic region avg.year>	weight<Denmark antarctic region prop>	score<Denmark antarctic region avg.year>	weight<Sweden antarctic region prop>	score<Sweden antarctic region avg.year>	weight<Italy antarctic region prop>	score<Italy antarctic region avg.year>	weight<Netherlands antarctic region prop>	score<Netherlands antarctic region avg.year>	weight<Spain antarctic region prop>	score<Spain antarctic region avg.year>	weight<Finland antarctic region prop>	score<Finland antarctic region avg.year>	weight<Switzerland antarctic region prop>	score<Switzerland antarctic region avg.year>	weight<New Zealand antarctic region prop>	score<New Zealand antarctic region avg.year>	weight<South Korea antarctic region prop>	score<South Korea antarctic region avg.year>	weight<Poland antarctic region prop>	score<Poland antarctic region avg.year>	weight<AWI antarctic region prop>	score<AWI antarctic region avg.year>	weight<BAS antarctic region prop>	score<BAS antarctic region avg.year>	weight<NOAA antarctic region prop>	score<NOAA antarctic region avg.year>	weight<NIPR antarctic region prop>	score<NIPR antarctic region avg.year>	weight<AAD antarctic region prop>	score<AAD antarctic region avg.year>	weight<NPI antarctic region prop>	score<NPI antarctic region avg.year>	weight<KOPRI antarctic region prop>	score<KOPRI antarctic region avg.year>	weight<AARI antarctic region prop>	score<AARI antarctic region avg.year>	weight<PRIC antarctic region prop>	score<PRIC antarctic region avg.year>
ross dependency	0.3634	0.2604	9	23	37	0.0588175122749591	2006.4347826087	0.0298129239025117	2011.25	0.0487388814426709	2002	0.0187300992695261	2008	0.147492625368732	2011	0	1990.5	0	1993	0	1991	0	1996.5	0.0194250194250194	2009	0	1991	0.187617260787992	2006	0	1991	0.0324886289798571	2009	0	1992	0.0918273645546373	2010.5	0	1992	0	1995	0.574919151994251	2006.6875	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
ross ice shelf	0.6007	-0.244	5	60	623	0.869476268412439	2009.06764705882	1.72169635537005	2008.670995671	0.414280492262703	2010.23529411765	0.543172878816258	2009.58620689655	1.10619469026549	2006.13333333333	0.50251256281407	2010	0.713648528099911	2015.625	0.212572122684482	2011.71428571429	0.581771170006464	2015.88888888889	0.369075369075369	2014.42105263158	0.507936507936508	2010.875	0.75046904315197	2014.5	0.779510022271715	2015.14285714286	1.16959064327485	2009	0.54773082942097	2012	0.0918273645546373	2008.5	0	1992	0.791139240506329	2012.8	2.15594681997844	2012.63333333333	0.741525423728814	2016	0.292112950340798	2015	0.386100386100386	2011.3	0.32726528942524	2012.0625	0.58411214953271	2005	0.311526479750779	2015.5	0.191082802547771	2011.66666666667	0.309597523219814	2017	1.12359550561798	2016	0	1990	0	1990
ross island	0.6312	-0.1909	10	49	390	0.603518821603928	2007.70338983051	1.08817172244168	2008.99315068493	0.243694407213355	2010.85	0.187300992695261	2008.2	0.589970501474926	2004.625	0	1990.5	0.0892060660124889	2010	0.242939568782265	2014.875	0.517129928894635	2015.375	0.446775446775447	2009.30434782609	0.19047619047619	2001.33333333333	0.75046904315197	2004.75	0.66815144766147	2008.5	0.55230669265757	2007.82352941176	0.0782472613458529	2004	0.137741046831956	2011.66666666667	0	1992	0.158227848101266	2013	3.55731225296443	2007.15151515152	0.317796610169492	2016.33333333333	0	1995	0.27027027027027	2010.57142857143	0.122724483534465	2013.5	0.350467289719626	2009.33333333333	0	1990	0.191082802547771	2004.66666666667	0	1990	0.481540930979133	2016.33333333333	0	1990	0	1990
ross sea	0.673	-0.0915	5	124	2853	5.31659165302782	2007.91486291486	7.46813743757919	2008.24051896208	2.52223711465822	2010.69082125604	3.52125866267091	2008.73936170213	5.97345132743363	2010.54320987654	2.71356783919598	2010.77777777778	3.30062444246209	2008.94594594595	2.21682356513817	2008.75342465753	4.20168067226891	2014.87692307692	3.3993783993784	2010	3.11111111111111	2008.4693877551	4.12757973733584	2011.59090909091	4.67706013363029	2013.04761904762	19.9155295646524	2006.24143556281	2.26917057902973	2009.86206896552	2.06611570247934	2011.35555555556	4	2006.8	3.00632911392405	2012.57894736842	12.7560186848724	2010.46478873239	4.02542372881356	2016.15789473684	2.23953261927946	2012.5652173913	3.28185328185328	2010.61176470588	1.84086725301698	2011.35555555556	5.14018691588785	2008.70454545455	1.24610591900312	2007.125	3.18471337579618	2009.48	1.23839009287926	2013.25	5.13643659711075	2017	1.94805194805195	2009.66666666667	1.05820105820106	2014.5
rutford ice stream	0.4302	-0.3369	2	14	51	0.112520458265139	2007.97727272727	0.0894387717075352	2010.08333333333	0.475204094066041	2008.25641025641	0.0374601985390523	2008	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0.0194250194250194	2017	0	1991	0	1996	0	1991	0.0324886289798571	2017	0.0782472613458529	2018	0	1994	0	1992	0.158227848101266	2011	0	1991.5	0	1992	0	1995	0.0772200772200772	2008	0.777255062384946	2008.34210526316	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
ryder bay	-0.8624	-0.1565	3	6	59	0.0895049099836334	2013.34285714286	0.0149064619512559	2017	0.389911051541367	2013.4375	0.0749203970781045	2012.75	0.0737463126843658	2018	0.301507537688442	2018.33333333333	0	1993	0.121469784391133	2013	0	1996.5	0.0194250194250194	2017	0	1991	0	1996	0	1991	0	1995	0.704225352112676	2015.33333333333	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0.0772200772200772	2013	0.613622417672326	2013.13333333333	0	1990	0	1990	0	1990	0.309597523219814	2018	0	1990	0	1990	0	1990
saint paul island	-0.2412	0.4956	8	1	5	0.0204582651391162	2003.25	0.00745323097562794	2000	0	1992	0	1992	0	1992	0	1990.5	0.0892060660124889	1998	0.121469784391133	2005.25	0	1996.5	0	1994	0	1991	0	1996	0	1991	0	1995	0	1992	0.0918273645546373	2003.5	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0	1990	0.116822429906542	2000	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
salmon bay	1.1071	-0.3363	10	1	2	0.0127864157119476	2009.2	0.0223596929268838	2012	0	1992	0	1992	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0.0388500388500388	2005	0	1991	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0.0718648939992814	2017.5	0	1992	0	1995	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
saunders island	-0.6675	0.1801	4	4	6	0.00767184942716858	2008.33333333333	0.00745323097562794	2005	0.0365541610820032	2008.33333333333	0	1992	0	1992	0	1990.5	0	1993	0	1991	0	1996.5	0	1994	0	1991	0	1996	0	1991	0	1995	0	1992	0	1994	0	1992	0	1995	0	1991.5	0	1992	0	1995	0	1990	0.0613622417672326	2008.33333333333	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990	0	1990
scotia sea	-0.511	0.1404	4	48	742	1.32722995090016	2007.20616570328	1.07326526049042	2006.32638888889	3.0949189716096	2008.55511811024	1.19872635324967	2006.109375	0.663716814159292	2012.22222222222	1.50753768844221	2011.8	3.83586083853702	2008.74418604651	0.850288490737929	2007.32142857143	0.517129928894635	2011.25	0.543900543900544	2011.07142857143	0.952380952380952	2004.2	1.50093808630394	2008.375	0.334075723830735	2013	1.10461338531514	2006.35294117647	1.09546165884194	2000.07142857143	2.7089072543618	2007.47457627119	1.2	1997	0.632911392405063	2008.75	0.179662234998203	2005.6	1.0593220338983	2009.3	0.292112950340798	2011	1.50579150579151	2005.53846153846	4.17263244017181	2008.03431372549	4.90654205607477	2008.52380952381	0.155763239875389	1991	0.445859872611465	2010.57142857143	0.619195046439629	2010.5	1.12359550561798	2011.71428571429	0	1990	0	1990
