id	x	y	cluster	weight<Links>	weight<Total link strength>
1140	-1.0914	-0.1877	2	203	138.7298
1141	-0.4124	-0.0549	3	203	130.5332
1142	-1.0221	-0.2154	2	203	123.8953
1143	0.696	0.3868	1	203	78.8647
1144	0.842	-0.4738	1	203	114.1352
1145	-0.7813	0.0783	2	203	133.1868
1146	0.0584	0.0909	4	203	125.2052
1147	-0.2179	0.1997	3	203	164.6959
1148	0.9189	-0.4791	1	203	88.5316
1149	0.9774	-0.0265	1	203	112.8056
1150	-1.131	-0.0974	2	203	133.4247
1151	-1.2544	-0.1784	2	203	108.3782
1152	0.7041	-0.2131	1	203	106.1236
1153	0.7609	-0.0514	1	203	111.193
1154	0.1287	0.3833	4	203	60.6005
1155	-0.846	-0.1811	2	203	81.247
1156	-0.858	-0.0875	2	203	154.4827
1157	0.899	0.1795	1	203	76.1696
1158	-0.8268	0.0259	2	203	161.2458
1159	-0.1803	0.1269	3	203	159.033
1160	-0.6774	-0.0395	2	203	162.1057
1161	-0.0069	-0.4821	5	203	128.9643
1162	-0.9671	0.3909	3	203	36.4786
1163	-0.5346	0.4868	3	203	125.8378
1164	-1.0752	-0.3018	2	203	135.4269
1165	-0.9819	0.1074	2	203	160.852
1166	-0.7177	0.3035	3	203	156.2705
1167	-0.2093	-0.1294	2	203	87.7583
1168	-0.2531	-0.5589	5	203	128.3241
1169	0.8496	-0.1377	1	203	102.1745
1170	0.4592	0.0065	1	203	127.3354
1171	-0.5267	-0.1321	2	203	166.9526
1172	0.5122	-0.1534	1	203	157.3744
1173	-0.4186	-0.549	5	203	134.9422
1174	-0.8532	-0.3924	2	203	126.9696
1175	-0.3736	0.0892	2	203	162.5023
1176	0.1177	-0.1118	4	203	141.6647
1177	-0.5756	0.2203	3	203	112.3458
1178	-0.3736	0.1317	2	203	131.1617
1179	1.0571	-0.3206	1	203	85.5837
1180	0.3307	0.3273	4	203	75.884
1181	0.7616	0.1744	1	203	78.4168
1182	0.5806	0.0123	1	203	149.0784
1183	-0.4305	0.0036	2	203	134.016
1184	-0.395	0.223	3	203	135.077
1185	0.9996	0.2357	1	203	45.002
1186	0.0238	0.1738	4	203	122.6252
1187	1.0302	0.6289	4	203	18.9905
1190	-0.5862	-0.2614	2	203	165.8746
1191	0.8148	0.133	1	203	34.1923
1192	-1.1779	0.3316	3	203	90.401
1193	-1.1748	-0.064	2	203	133.9332
1194	-0.3929	-0.5086	5	203	52.739
1196	-0.0447	0.2981	3	203	143.7504
1198	-0.5743	0.3936	3	203	144.0168
1212	-0.0934	-0.5802	5	203	120.0434
1215	0.3736	0.2732	1	203	96.9118
1219	-0.5609	-0.5464	5	203	134.3806
1226	-0.8652	-0.2192	2	203	148.6374
1234	0.2915	0.338	4	203	72.0708
1236	0.5344	0.3982	4	203	33.5761
1238	0.4845	0.3466	4	203	92.3211
1241	0.0407	-0.434	5	203	144.3943
1264	-0.6077	0.0023	2	203	153.05
