id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<cluster size>
184	184	-0.4625	0.5159	3	203	135.077	169
185	185	0.9916	-0.2664	1	203	45.002	118
186	186	0.0185	-0.2284	1	203	122.6252	104
187	187	1.0317	-0.6019	1	203	18.9905	131
190	190	-0.5721	0.0578	2	203	165.8746	238
191	191	0.7707	-0.3471	1	203	34.1923	153
192	192	-1.2154	0.1635	3	203	90.401	285
193	193	-1.1218	-0.3014	2	203	133.9332	172
194	194	-0.3779	0.4643	4	203	52.739	270
196	196	-0.053	-0.026	3	203	143.7504	125
198	198	-0.639	0.2363	3	203	144.0168	300
212	212	-0.0899	0.5509	4	203	120.0434	241
215	215	0.3588	-0.3271	1	203	96.9118	105
219	219	-0.557	0.4327	4	203	134.3806	143
226	226	-0.8165	-0.321	2	203	148.6374	113
234	234	0.2816	-0.3107	1	203	72.0708	109
236	236	0.5173	-0.4018	1	203	33.5761	106
238	238	0.4757	-0.2806	1	203	92.3211	137
241	241	0.0384	0.4802	4	203	144.3943	195
264	264	-0.5533	-0.3575	2	203	153.05	122
