id	x	y	cluster	weight<Links>	weight<Total link strength>	label	weight<cluster total n>	weight<cluster country n>	weight<excel top10>	weight<mean percentile>	weight<share top10>	weight<share all>	weight<avg. year>	score<cluster total n>	score<cluster country n>	score<excel top10>	score<mean percentile>	score<share top10>	score<share all>	score<avg. year>
1000	-1.1996	-0.0914	2	203	127.6882	0_저어콘(Zr) 이용 연대 측정 및 초대륙 지각 진화	2331	30	0	50.52397338935543	0	1.287001287001287	2006.1106870229007	2331	30	0	50.52397338935543	0	1.287001287001287	2006.1106870229007
1001	0.4662	0.4131	4	203	74.7816	1_극지 환경 오염물질 모니터링과 생태계 영향	2109	27	7.407407407407482	36.951197330447165	0.43038519474930287	1.2802275960170697	2008.3330628803246	2109	27	7.407407407407482	36.951197330447165	0.43038519474930287	1.2802275960170697	2008.3330628803246
1002	0.7105	0.2559	1	203	72.5459	2_남극 세균으로부터 얼음결합단백질 기능 및 산업적 응용 연구	1233	76	7.171052631578982	42.246206175680925	2.8973950026581745	6.163828061638281	2008.4419398907103	1233	76	7.171052631578982	42.246206175680925	2.8973950026581745	6.163828061638281	2008.4419398907103
1003	0.8285	0.0737	1	203	98.2219	3_북극 빙하 난민의 생물지리적, 인구유전학적 연구 및 북극 식물의 진화	1276	16	0	30.261456959706585	0	1.2539184952978055	2009.9342387419586	1276	16	0	30.261456959706585	0	1.2539184952978055	2009.9342387419586
1004	0.9453	0.3063	1	203	48.5073	4_극지미생물 유래 저온적응 효소의 구조 및 기능 분석과 생산 기술	904	119	2.5210084033613525	39.63021900826449	2.177594967336085	13.163716814159294	2008.6300970873785	904	119	2.5210084033613525	39.63021900826449	2.177594967336085	13.163716814159294	2008.6300970873785
1005	1.0445	-0.285	1	203	99.4431	5_해양 소화성 어류 생물종 개체수 및 자원 관리를 위한 유전자 다형성 분석	1222	1	0	70.9099999999995	0	0.08183306055646482	2007.7496697490092	1222	1	0	70.9099999999995	0	0.08183306055646482	2007.7496697490092
1006	0.628	0.0971	1	203	108.298	6_북극 토양 탄소 분해와 기후변화 피드백	1418	17	5.882352941176588	31.103330532213082	0.2906723250879354	1.1988716502115657	2006.669623059867	1418	17	5.882352941176588	31.103330532213082	0.2906723250879354	1.1988716502115657	2006.669623059867
1007	0.7808	-0.2043	1	203	106.308	7_극지 생태계 먹이 밀도 분포와 보존 전략	2242	12	8.333333333333332	35.549467592592485	0.17834849295523383	0.535236396074933	2007.2852541159627	2242	12	8.333333333333332	35.549467592592485	0.17834849295523383	0.535236396074933	2007.2852541159627
1008	-1.2105	0.2979	3	203	68.6221	8_극지 전리층 변화 및 지자기폭풍 시뮬레이션 연구	1756	37	8.108108108107851	54.27478519469376	0.7730630475863018	2.1070615034168565	2005.9322175732218	1756	37	8.108108108107851	54.27478519469376	0.7730630475863018	2.1070615034168565	2005.9322175732218
1009	0.2527	0.1814	1	203	144.9008	9_북극 생태계 식생변화의 기후변화 위험 분석	1702	19	10.526315789472864	48.97249947713074	0.3714365307827763	1.1163337250293772	2012.8752166377817	1702	19	10.526315789472864	48.97249947713074	0.3714365307827763	1.1163337250293772	2012.8752166377817
